Participant,Mode,Route,GlobalTrial,NodeID,IsDecisionNode,EnterTime(s),LeaveTime(s),TimeSpentInNode(s)
P01,SoundAndVisual,T4,3,C,True,4.54,5.28,0.74
P01,SoundAndVisual,T4,3,B,True,6.24,7.03,0.80
P01,SoundAndVisual,T5,4,A,True,0.01,2.27,2.26
P01,SoundAndVisual,T5,4,B,True,3.19,8.05,4.86
P01,SoundAndVisual,T5,4,H,True,9.07,9.99,0.92
P01,SoundAndVisual,T5,4,I,True,11.07,12.33,1.26
P01,SoundAndVisual,T5,4,H,True,13.40,14.29,0.90
P01,SoundAndVisual,T5,4,B,True,15.25,16.88,1.62
P01,SoundAndVisual,T5,4,C,True,17.89,19.81,1.92
P01,SoundAndVisual,T5,4,D,True,20.99,21.77,0.78
P01,SoundAndVisual,T5,4,J,True,22.77,23.67,0.90
P01,SoundAndVisual,T5,4,G,True,25.31,43.69,18.38
P01,SoundAndVisual,T5,4,G,True,46.57,47.60,1.02
P01,SoundAndVisual,T5,4,J,True,49.18,50.07,0.90
P01,SoundAndVisual,T2,0,B,True,0.00,2.66,2.66
P01,SoundAndVisual,T2,0,C,True,3.62,4.50,0.88
P01,SoundAndVisual,T2,0,D,True,5.62,6.56,0.94
P01,SoundAndVisual,T5,1,A,True,0.00,3.03,3.03
P01,SoundAndVisual,T4,0,F,True,0.00,2.36,2.36
P01,SoundAndVisual,T4,0,C,True,4.90,5.58,0.68
P01,SoundAndVisual,T4,0,B,True,6.53,7.19,0.66
P01,SoundAndVisual,T3,1,L,True,0.02,1.76,1.74
P01,SoundAndVisual,T3,1,G,True,3.64,4.30,0.66
P01,SoundAndVisual,T3,1,F,True,6.02,6.76,0.74
P01,SoundAndVisual,T5,2,A,True,0.02,1.66,1.64
P01,SoundAndVisual,T5,2,B,True,2.74,13.08,10.34
P01,SoundAndVisual,T5,2,C,True,14.08,15.57,1.50
P01,SoundAndVisual,T5,2,C,True,17.30,18.00,0.70
P01,SoundAndVisual,T5,2,B,True,19.02,21.21,2.20
P01,SoundAndVisual,T5,2,H,True,22.22,25.04,2.82
P01,SoundAndVisual,T5,2,I,True,26.02,27.36,1.34
P01,SoundAndVisual,T5,2,F,True,28.72,29.84,1.12
P01,SoundAndVisual,T4,0,F,True,0.00,4.49,4.49
P01,SoundAndVisual,T4,0,C,True,7.03,7.65,0.62
P01,SoundAndVisual,T4,0,B,True,8.69,9.33,0.64
P01,SoundAndVisual,T1,1,K,True,0.01,2.79,2.78
P01,SoundAndVisual,T1,1,B,True,4.37,5.44,1.06
P01,SoundAndVisual,T2,2,B,True,0.02,1.49,1.48
P01,SoundAndVisual,T2,2,C,True,2.45,3.32,0.86
P01,SoundAndVisual,T2,2,D,True,4.45,5.33,0.88
P01,SoundAndVisual,T5,3,A,True,0.01,2.54,2.52
P01,SoundAndVisual,T5,3,B,True,3.58,10.60,7.02
P01,SoundAndVisual,T3,0,L,True,0.00,2.54,2.54
P01,SoundAndVisual,T3,0,L,True,5.26,23.72,18.46
P01,SoundAndVisual,T3,0,G,True,25.32,26.22,0.90
P01,SoundAndVisual,T3,0,J,True,27.84,28.78,0.94
P01,SoundAndVisual,T3,0,D,True,29.78,30.54,0.76
P01,SoundAndVisual,T5,1,G,True,0.02,2.14,2.12
P01,SoundAndVisual,T5,1,F,True,3.16,4.08,0.92
P01,SoundAndVisual,T5,1,I,True,5.36,6.07,0.72
P01,SoundAndVisual,T4,2,F,True,0.02,1.50,1.48
P01,SoundAndVisual,T4,2,C,True,4.32,4.98,0.66
P01,SoundAndVisual,T4,2,B,True,5.96,6.58,0.62
P01,SoundAndVisual,T1,3,K,True,0.02,1.96,1.94
P01,SoundAndVisual,T1,3,B,True,3.54,4.26,0.72
P01,SoundAndVisual,T6,4,L,True,0.02,1.54,1.52
P01,SoundAndVisual,T6,4,G,True,3.20,5.32,2.12
P01,SoundAndVisual,T6,4,J,True,7.74,8.68,0.94
P01,SoundAndVisual,T6,4,D,True,9.74,10.94,1.20
P01,SoundAndVisual,T6,4,D,True,12.86,13.50,0.64
P01,SoundAndVisual,T6,4,J,True,14.50,15.42,0.92
P01,SoundAndVisual,T6,4,G,True,16.98,17.98,1.00
P01,SoundAndVisual,T6,4,L,True,19.50,20.82,1.32
P01,SoundAndVisual,T6,4,G,True,22.52,25.99,3.48
P01,SoundAndVisual,T6,4,F,True,27.08,28.82,1.74
P01,SoundAndVisual,T6,4,C,True,31.38,33.20,1.82
P01,SoundAndVisual,T6,4,D,True,34.34,35.76,1.42
P01,SoundAndVisual,T6,4,D,True,40.02,54.14,14.12
P01,SoundAndVisual,T6,4,C,True,55.28,55.96,0.68
P01,SoundAndVisual,T6,4,C,True,60.58,65.28,4.70
